routers,interval,source,n,mean_ms,sample_sd_ms,delta_ms,delta_percent
2,parent_request_to_response,otns_pcap,100,229.0107,143.702839,202.5407,765.170759
2,parent_request_to_response,hardware_pcap,100,26.47,9.41,,
2,parent_response_to_child_id_request,otns_pcap,100,520.84284,143.552798,509.96284,4687.158456
2,parent_response_to_child_id_request,hardware_pcap,100,10.88,0.82,,
2,child_id_request_to_response,otns_pcap,100,5.6208,1.038683,-8.1792,-59.269565
2,child_id_request_to_response,hardware_pcap,100,13.8,0.93,,
2,parent_request_to_child_id_response,otns_pcap,100,755.47434,1.501382,704.33434,1377.266993
2,parent_request_to_child_id_response,hardware_pcap,100,51.14,9.43,,
3,parent_request_to_response,otns_pcap,100,228.81614,135.068737,192.47614,529.65366
3,parent_request_to_response,hardware_pcap,100,36.34,20.51,,
3,parent_response_to_child_id_request,otns_pcap,100,521.25574,135.165644,509.41574,4302.497804
3,parent_response_to_child_id_request,hardware_pcap,100,11.84,2.45,,
3,child_id_request_to_response,otns_pcap,100,5.6528,1.078835,-8.7672,-60.79889
3,child_id_request_to_response,hardware_pcap,100,14.42,2.76,,
3,parent_request_to_child_id_response,otns_pcap,100,755.72468,1.469825,693.12468,1107.227923
3,parent_request_to_child_id_response,hardware_pcap,100,62.6,21.22,,
4,parent_request_to_response,otns_pcap,100,240.70102,145.95585,201.05102,507.064363
4,parent_request_to_response,hardware_pcap,100,39.65,22.95,,
4,parent_response_to_child_id_request,otns_pcap,100,509.19222,145.936156,496.80222,4009.703148
4,parent_response_to_child_id_request,hardware_pcap,100,12.39,4.24,,
4,child_id_request_to_response,otns_pcap,100,5.6176,1.075027,-9.4324,-62.673754
4,child_id_request_to_response,hardware_pcap,100,15.05,3.2,,
4,parent_request_to_child_id_response,otns_pcap,100,755.51084,1.728306,688.40084,1025.779824
4,parent_request_to_child_id_response,hardware_pcap,100,67.11,24.76,,
