routers,interval,source,n,mean_ms,sample_sd_ms,delta_ms,delta_percent
2,parent_request_to_response,otns_openthread_event,100,16.16912,3.73357,,
2,parent_request_to_response,otns_pcap,100,5.2436,2.532188,-6.2064,-54.204367
2,parent_request_to_response,hardware_pcap,100,11.45,1.27,,
2,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0,,
2,parent_response_to_child_id_request,otns_pcap,100,6.232,2.320237,-4.378,-41.262959
2,parent_response_to_child_id_request,hardware_pcap,100,10.61,0.81,,
2,child_id_request_to_response,otns_openthread_event,100,11.25552,2.720306,,
2,child_id_request_to_response,otns_pcap,100,5.84288,1.656975,-7.99712,-57.782659
2,child_id_request_to_response,hardware_pcap,100,13.84,0.81,,
2,parent_request_to_child_id_response,otns_openthread_event,100,27.42464,4.147922,,
2,parent_request_to_child_id_response,otns_pcap,100,17.31848,3.499715,-18.57152,-51.745667
2,parent_request_to_child_id_response,hardware_pcap,100,35.89,1.86,,
3,parent_request_to_response,otns_openthread_event,100,15.4584,3.237932,,
3,parent_request_to_response,otns_pcap,100,5.27528,2.234493,-5.96472,-53.066904
3,parent_request_to_response,hardware_pcap,100,11.24,0.94,,
3,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0,,
3,parent_response_to_child_id_request,otns_pcap,100,5.91104,1.599316,-4.81896,-44.91109
3,parent_response_to_child_id_request,hardware_pcap,100,10.73,0.83,,
3,child_id_request_to_response,otns_openthread_event,100,10.99296,2.725545,,
3,child_id_request_to_response,otns_pcap,100,5.9568,2.180186,-7.8532,-56.866039
3,child_id_request_to_response,hardware_pcap,100,13.81,0.84,,
3,parent_request_to_child_id_response,otns_openthread_event,100,26.45136,3.916425,,
3,parent_request_to_child_id_response,otns_pcap,100,17.14312,3.512647,-18.63688,-52.087423
3,parent_request_to_child_id_response,hardware_pcap,100,35.78,1.57,,
4,parent_request_to_response,otns_openthread_event,100,16.86281,13.741766,,
4,parent_request_to_response,otns_pcap,100,5.46896,2.247186,-6.11104,-52.772366
4,parent_request_to_response,hardware_pcap,100,11.58,0.98,,
4,parent_response_to_child_id_request,otns_openthread_event,100,0.0,0.0,,
4,parent_response_to_child_id_request,otns_pcap,100,7.67313,13.058225,-2.93687,-27.680207
4,parent_response_to_child_id_request,hardware_pcap,100,10.61,0.95,,
4,child_id_request_to_response,otns_openthread_event,100,11.82384,4.910604,,
4,child_id_request_to_response,otns_pcap,100,6.17216,2.159109,-7.55784,-55.046176
4,child_id_request_to_response,hardware_pcap,100,13.73,0.83,,
4,parent_request_to_child_id_response,otns_openthread_event,100,28.68665,17.638178,,
4,parent_request_to_child_id_response,otns_pcap,100,19.31425,13.844119,-16.59575,-46.214843
4,parent_request_to_child_id_response,hardware_pcap,100,35.91,1.62,,
